AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,MM,NN,OO,PP,QQ
1,1,-9.698288735,1.82395325,5.099894098,-1.618303395,0,0.068162719,2.736882793,-0.495029809,-14.56049178,0.542889103,0.669877972,4.326332553,0.276222415,0.403924054,0.319875814
1,1,-4.79245342,-2.439862874,6.161732208,-1.233405924,0,0.022345184,3.071586964,0.421995227,-28.97643235,0.450955645,0.704466131,7.185283195,0.440870979,0.108112799,0.450882944
1,1,-10.86222543,1.915757947,5.107476753,0.40147945,0,0,2.099104198,0.479815791,-4.537535233,0.53369077,0.644427046,3.656600417,0.263099908,0.300571927,0.436235019
1,1,-1.792072651,-3.699707617,5.686912569,-1.307644271,0.442649541,0,3.282094214,-2.175813224,-10.85851834,0.542680696,0.707033887,5.502005865,0.36049984,0.020989992,0.618572957
1,1,-10.55035967,-9.555480808,3.216412796,-1.315601342,0,0,2.664113908,-0.329866378,53.64766913,0.398808694,0.309046873,0.984400133,0.548334771,0.231397014,0.220216032
1,1,-10.59886344,-2.178703475,5.359894103,-0.762514801,0.066926898,0,3.023306038,0.061839473,-1.574806688,0.496665773,0.600299306,4.835668288,0.448783684,0.170426855,0.380795222
1,1,-1.284019419,-1.318955682,4.3075152,4.133413318,1.295866458,0,4.233975854,1.888244619,5.923842389,0.449618682,0.558800504,4.382290868,0.497523878,0.296277519,0.206213553
1,1,-10.77592011,0.449431486,5.030131506,-2.750663853,0,0.041180427,1.611781028,-0.33971651,11.44534979,0.430381649,0.524240975,3.214189951,0.912313127,0.041798524,0.045925941
1,1,-5.092726112,-2.203294041,3.76242099,1.402047352,0.334712757,0,3.806604926,1.149757143,36.53658459,0.441209396,0.413308455,3.133486075,0.402160878,0.238052073,0.359742104
1,1,-9.920483278,-3.138004203,4.334586464,-0.763618249,0,0.139054034,1.919306062,-0.758360894,16.27721121,0.390878663,0.420076558,1.819059661,0.682522888,0.047294108,0.27015324
1,1,-10.43103311,1.361114186,5.397753969,-1.384937451,0.35355143,0,3.036130874,-1.846761595,12.57202467,0.378337352,0.56641153,3.47279307,0.685435976,0.10115873,0.213284341
1,1,-10.74900509,-1.181543168,5.54466553,-0.550744253,0,0.212075697,3.078508765,-0.223339628,-17.29047127,0.578246478,0.656494209,4.670419539,0.712168562,0.082881982,0.20491667
1,1,-9.64220789,1.986689867,5.497147699,0.627698798,0.213686639,0,2.640510926,-0.456716454,-26.81209442,0.447889383,0.684229976,4.811441328,0.224914367,0.298078336,0.477032532
1,1,-4.42080557,-9.936555802,5.465219574,-1.546128758,0,0.068216129,3.807038538,-10.15987736,-26.56169044,0.550137824,0.540098546,5.1293519,0.185828688,0.030735388,0.782911354
1,1,-10.46661297,0.299445639,4.248087031,-1.649498597,0.176052194,0,2.854973814,-0.842856226,-9.768535636,0.516710692,0.378577381,2.468990866,0.102896395,0.206707993,0.690553406
1,1,-10.35271661,1.222775941,5.13860217,0.314097916,0.183024464,0,2.602536642,-0.028757607,-4.072989017,0.512182602,0.474818671,3.065914528,0.060521988,0.324159527,0.615269376
1,1,-10.57338226,-4.66964983,3.996116561,-0.830071073,0,0,3.655832542,-2.747960288,27.95499924,0.603369539,0.428954349,2.349275289,0.322154761,0.361345376,0.316437834
1,1,-11.1664401,-6.539956769,5.280090718,-0.239237923,0,0,3.878747215,-0.991526219,4.834485711,0.553317683,0.667466704,4.254682265,0.486425369,0.166810865,0.346889897
1,1,-10.31626446,-10.28433678,4.497274092,0.381558885,0.182208667,0,0.71751365,-1.295651329,4.044807411,0.57325274,0.437197676,1.08778637,0.766682959,0.000414595,0.232938214
1,1,-5.858294556,-3.228242297,4.623782735,1.261766421,0.056464575,0.194362646,3.344208364,-0.992075034,37.09710374,0.368198981,0.445266334,0.584527251,0.581849965,0.195307235,0.222981564
1,1,-10.371742,0.243376173,4.957550705,0.323129825,0,0.113364424,2.233896668,-1.423679374,24.09826193,0.543747495,0.431639011,3.589956778,0.686104774,0.114619182,0.199331533
1,1,-9.979650958,1.47147041,4.518832415,-2.501151219,0.131552377,0,2.202410579,-10.36848291,20.3909003,0.505340272,0.35928814,1.996525072,0.569980936,0,0.430478875
1,1,-11.04566245,0.37267674,5.171525591,-1.152643135,0,0,2.864155228,-4.810393205,-13.61233337,0.425955607,0.553599386,4.50995903,0.088971142,0.230657974,0.680312338
1,1,-4.901191049,0.810459307,5.095038337,-1.041646184,0.154450924,0,2.161204269,-2.706585865,7.764986715,0.547593001,0.520857987,4.599827527,0.53916015,0.221505782,0.239224362
1,1,-9.274565349,-3.345452536,4.846818173,0.475232517,0,0.218752744,3.836115373,-0.329455532,-8.384841025,0.542349463,0.637094287,4.825455514,0.568827846,0.160905529,0.270082336
1,1,-10.43320417,-7.982439615,4.535860462,4.542487917,0.217867355,0,3.497716761,2.421838078,13.39822157,0.483537744,0.57315828,2.986190278,0.350864129,0.251718491,0.397424668
1,1,-4.913062121,-8.843702469,4.95906087,-1.249796009,0,0.255217059,3.533445005,-1.054798963,-1.040434167,0.519620537,0.5393932,3.586457776,0.564384222,0.200402321,0.235178076
1,1,-2.097625746,-5.733524827,5.397705878,1.073278069,0.057994535,0,3.437508197,-2.639250221,-22.52552683,0.557731997,0.54978803,3.130913932,0.402468141,0.214765871,0.382836507
1,1,-10.4534117,-0.99050973,4.909986044,-0.408620641,0,0.081883486,1.463285038,-0.466682391,20.56478504,0.587195816,0.538500551,2.887417664,0.571586385,0.195815065,0.232726514
1,1,-7.468249855,0.412510235,5.006518847,0.441423929,0,0.010581398,3.065141202,-0.028142962,-5.383379388,0.623809155,0.665285393,4.549728545,0.409985593,0.167228712,0.422881908
1,1,-9.924913076,-5.612000256,4.800021104,-7.425298652,0.423105786,0,1.762638385,0.564827647,30.13961645,0.511789948,0.53954987,3.090067822,0.406695664,0.282983263,0.310297711
1,1,-9.389356452,-1.677906472,4.23919006,-8.740054895,0,0.193687628,2.966945511,-0.667945723,16.49608559,0.519437089,0.494849356,2.900699506,0.494813013,0.149345561,0.355664094
1,1,-10.75229206,-11.14845119,5.037853759,-0.339608387,0,0.227627807,1.887091231,-5.751952169,3.103878191,0.494531894,0.448307275,2.427490553,0.862865771,0.026171606,0.110902536
1,1,-10.48335603,1.664866412,4.973965621,0.49806096,0.009565818,0,2.972371006,0.978064971,2.098248341,0.50345876,0.625556247,4.810820944,0.122835765,0.458884057,0.418209131
